additional_search_metadata,categories,glyph_order,NEW_PUAs,Non_modifiable,protected_symbol_notes,RTL_extension,semantic_name_1,semantic_name_2,semantic_name_3,short_name,character,unicodes
,,96,100AB9,FALSE,,,,,,externaldrive.badge.icloud,􀪹,XXXXX
,objects & tools,97,10025A,FALSE,,,books,bookmarks,,book,􀉚,XXXXX
,,97,100ABA,FALSE,,,,,,externaldrive.fill.badge.icloud,􀪺,XXXXX
,objects & tools,98,10025B,FALSE,,,books.fill,bookmarks.fill,,book.fill,􀉛,XXXXX
,objects & tools,98,100A6E,FALSE,,,,,,externaldrive.badge.wifi,􀩮,XXXXX
,objects & tools,99,10025C,FALSE,,,books.circle,bookmarks.circle,,book.circle,􀉜,XXXXX
,objects & tools,99,100A6F,FALSE,,,,,,externaldrive.fill.badge.wifi,􀩯,XXXXX
,objects & tools,100,10025D,FALSE,,,books.circle.fill,bookmarks.circle.fill,,book.circle.fill,􀉝,XXXXX
,objects & tools,100,10091C,FALSE,,,,,,externaldrive.badge.timemachine,􀤜,XXXXX
,objects & tools,101,10025E,FALSE,,,bookmark,,,bookmark,􀉞,XXXXX
,objects & tools,101,10091D,FALSE,,,,,,externaldrive.fill.badge.timemachine,􀤝,XXXXX
,objects & tools,102,10025F,FALSE,,,bookmark.fill,,,bookmark.fill,􀉟,XXXXX
,objects & tools,102,10097E,FALSE,,,,,,internaldrive,􀥾,XXXXX
,objects & tools,103,100A2A,FALSE,,,,,,internaldrive.fill,􀨪,XXXXX
,objects & tools,104,100904,FALSE,,,,,,opticaldiscdrive,􀤄,XXXXX
,objects & tools,105,1006EF,FALSE,,,,,,rosette,􀛯,NO
,objects & tools,105,100905,FALSE,,,,,,opticaldiscdrive.fill,􀤅,XXXXX
,objects & tools,106,100262,FALSE,,,attachements,,,paperclip,􀉢,XXXXX
,,106,100A24,FALSE,,,,,,externaldrive.connected.to.line.below,􀨤,XXXXX
,objects & tools,107,100494,FALSE,,,attachements.circle,,,paperclip.circle,􀒔,NO
,,107,100A25,FALSE,,,,,,externaldrive.connected.to.line.below.fill,􀨥,XXXXX
,objects & tools,108,100495,FALSE,,,attachements.circle.fill,,,paperclip.circle.fill,􀒕,NO
,objects & tools,109,100496,FALSE,,,include.attachements,,,rectangle.and.paperclip,􀒖,NO
,objects & tools,110,100263,FALSE,,,link,,,link,􀉣,XXXXX
,objects & tools,110,10022F,FALSE,,,archive.circle,,,archivebox.circle,􀈯,XXXXX
,objects & tools,111,1004A0,FALSE,,,link.circle,,,link.circle,􀒠,NO
,objects & tools,111,100230,FALSE,,,archive.circle.fill,,,archivebox.circle.fill,􀈰,XXXXX
,objects & tools,112,1004A1,FALSE,,,link.circle.fill,,,link.circle.fill,􀒡,NO
mail,objects & tools,112,100231,FALSE,,,junk,,,xmark.bin,􀈱,XXXXX
,,113,100264,FALSE,,,personal.hotspot,,,personalhotspot,􀉤,XXXXX
mail,objects & tools,113,100232,FALSE,,,junk.fill,,,xmark.bin.fill,􀈲,XXXXX
,"objects & tools, editing",114,10048B,TRUE,This symbol may not be modified and may only be used to refer to Apple’s Markup feature.,,,,,pencil.tip,􀒋,NO
,objects & tools,114,100233,FALSE,,,junk.circle,,,xmark.bin.circle,􀈳,XXXXX
,"objects & tools, editing",115,100265,TRUE,This symbol may not be modified and may only be used to refer to Apple’s Markup feature.,,markup,,,pencil.tip.crop.circle,􀉥,XXXXX
,objects & tools,115,100234,FALSE,,,junk.circle.fill,,,xmark.bin.circle.fill,􀈴,XXXXX
