additional_search_metadata,categories,glyph_order,NEW_PUAs,Non_modifiable,private,protected_symbol_notes,RTL_extension,semantic_name_1,semantic_name_2,semantic_name_3,semantic_name_4,semantic_name_5,semantic_name_6,semantic_name_7,semantic_name_8,short_name,aliases,character,unicodes,availability
"remove, remove.from.calendar","multicolor, objectsandtools",185,10024B,TRUE,FALSE,,,remove,remove.from.calendar,,,,,,,calendar.badge.minus,,􀉋,XXXXX,2019
date and time,"multicolor, objectsandtools",186,1009DE,TRUE,FALSE,,,date and time,,,,,,,,calendar.badge.clock,,􀧞,XXXXX,2020
warning,"multicolor, objectsandtools",188,100B9D,TRUE,FALSE,,,warning,,,,,,,,calendar.badge.exclamationmark,,􀮝,XXXXX,2020
,"multicolor, whatsnew",189,100EE4,TRUE,FALSE,,,,,,,,,,,calendar.day.timeline.left,,􀻤,XXXXX,2021
,"multicolor, whatsnew",190,100EE3,TRUE,FALSE,,,,,,,,,,,calendar.day.timeline.right,,􀻣,XXXXX,2021
,"multicolor, whatsnew",191,101043,TRUE,FALSE,,,,,,,,,,,calendar.day.timeline.leading,,􁁃,XXXXX,2021
,"multicolor, whatsnew",192,101042,TRUE,FALSE,,,,,,,,,,,calendar.day.timeline.trailing,,􁁂,XXXXX,2021
"mail, reply",arrows,193,10024C,TRUE,FALSE,,,mail,reply,,,,,,,arrowshape.turn.up.left,,􀉌,XXXXX,2019
"mail, reply, reply.fill",arrows,194,10024D,TRUE,FALSE,,,mail,reply,reply.fill,,,,,,arrowshape.turn.up.left.fill,,􀉍,XXXXX,2019
reply,arrows,195,10024E,TRUE,FALSE,,,reply,,,,,,,,arrowshape.turn.up.left.circle,,􀉎,XXXXX,2019
"reply, reply.fill","arrows, multicolor",196,10024F,TRUE,FALSE,,,reply,reply.fill,,,,,,,arrowshape.turn.up.left.circle.fill,,􀉏,XXXXX,2019
"forward, mail",arrows,201,100250,TRUE,FALSE,,,forward,mail,,,,,,,arrowshape.turn.up.right,,􀉐,XXXXX,2019
"forward, forward.fill, mail",arrows,202,100251,TRUE,FALSE,,,forward,forward.fill,mail,,,,,,arrowshape.turn.up.right.fill,,􀉑,XXXXX,2019
forward,arrows,203,100252,TRUE,FALSE,,,forward,,,,,,,,arrowshape.turn.up.right.circle,,􀉒,XXXXX,2019
"forward, forward.fill","arrows, multicolor",204,100253,TRUE,FALSE,,,forward,forward.fill,,,,,,,arrowshape.turn.up.right.circle.fill,,􀉓,XXXXX,2019
"mail, reply all, reply.all",arrows,209,100254,TRUE,FALSE,,,mail,reply all,reply.all,,,,,,arrowshape.turn.up.left.2,,􀉔,XXXXX,2019
"mail, reply all, reply.all.fill",arrows,210,100255,TRUE,FALSE,,,mail,reply all,reply.all.fill,,,,,,arrowshape.turn.up.left.2.fill,,􀉕,XXXXX,2019
"reply all, reply.all",arrows,211,100256,TRUE,FALSE,,,reply all,reply.all,,,,,,,arrowshape.turn.up.left.2.circle,,􀉖,XXXXX,2020
"reply all, reply.all.fill","arrows, multicolor",212,100257,TRUE,FALSE,,,reply all,reply.all.fill,,,,,,,arrowshape.turn.up.left.2.circle.fill,,􀉗,XXXXX,2020
"mail, redirect",arrows,217,100258,TRUE,FALSE,,,mail,redirect,,,,,,,arrowshape.zigzag.right,,􀉘,XXXXX,2020
"mail, redirect.fill",arrows,218,100490,TRUE,FALSE,,,mail,redirect.fill,,,,,,,arrowshape.zigzag.right.fill,,􀒐,XXXXX,2020
"bounce, mail",arrows,221,100259,TRUE,FALSE,,,bounce,mail,,,,,,,arrowshape.bounce.right,,􀉙,XXXXX,2020
